Course Name,Course ID,Name,Link to Evaluation,Evaluation Found,Semester,Year
"FDREL 250: 18,24 (Campus); Fall 2017",288274,250 Assessment,https://byui.brightspace.com/d2l/common/dialogs/quickLink/quickLink.d2l?ou=288274&type=quiz&rcode=byui_production-1618379,Found,Fall 2017,2017
"FDREL 250: 11,16,27 (Campus); Fall 2017",290362,250 Assessment,https://byui.brightspace.com/d2l/common/dialogs/quickLink/quickLink.d2l?ou=290362&type=quiz&rcode=byui_production-1618379,Found,Fall 2017,2017
"FDREL 250: 03,08 (Campus); Fall 2017",326763,250 Toolkit Assessment,https://byui.brightspace.com/d2l/common/dialogs/quickLink/quickLink.d2l?ou=326763&type=quiz&rcode=byui_production-1618379,Found,Fall 2017,2017
"FDREL 250: 13,15 (Campus); Fall 2017",327760,250 Assessment,https://byui.brightspace.com/d2l/common/dialogs/quickLink/quickLink.d2l?ou=327760&type=quiz&rcode=byui_production-1618379,Found,Fall 2017,2017
"FDREL 250: 03,07,20,25 (Campus); Winter 2018",341283,250 Toolkit Assessment,https://byui.brightspace.com/d2l/common/dialogs/quickLink/quickLink.d2l?ou=341283&type=quiz&rcode=byui_production-1618379,Found,Winter 2018,2018
"FDREL 250: 23,24 (Campus); Winter 2018",365243,250 Assessment,https://byui.brightspace.com/d2l/common/dialogs/quickLink/quickLink.d2l?ou=365243&type=quiz&rcode=byui_production-1618379,Found,Winter 2018,2018
"FDREL 250: 09,13 (Campus); Winter 2018",375413,"250 Assessment,250 Assessment",https://byui.brightspace.com/d2l/common/dialogs/quickLink/quickLink.d2l?ou=375413&type=quiz&rcode=byui_production-1618379,Found,Winter 2018,2018
"FDREL 250: 17,18 (Campus); Winter 2018",375417,"250 Assessment,250 Assessment",https://byui.brightspace.com/d2l/common/dialogs/quickLink/quickLink.d2l?ou=375417&type=quiz&rcode=byui_production-1618379,Found,Winter 2018,2018
"FDREL 250: 11,14 (Campus); Winter 2018",376061,250 Assessment,https://byui.brightspace.com/d2l/common/dialogs/quickLink/quickLink.d2l?ou=376061&type=quiz&rcode=byui_production-1733091,Found,Winter 2018,2018
FDREL 250: 22 (Campus); Winter 2018,388402,250 Assessment,https://byui.brightspace.com/d2l/common/dialogs/quickLink/quickLink.d2l?ou=388402&type=quiz&rcode=byui_production-1618379,Found,Winter 2018,2018
FDREL 250: 27 (Campus); Winter 2018,389359,250 Assessment,https://byui.brightspace.com/d2l/common/dialogs/quickLink/quickLink.d2l?ou=389359&type=quiz&rcode=byui_production-1618379,Found,Winter 2018,2018
"FDREL 250: 01,06 (Campus); Spring 2018",394370,250 Toolkit Assessment,https://byui.brightspace.com/d2l/common/dialogs/quickLink/quickLink.d2l?ou=394370&type=quiz&rcode=byui_production-1618379,Found,Spring 2018,2018
FDREL 250: 14 (Campus); Spring 2018,412335,250 Assessment,https://byui.brightspace.com/d2l/common/dialogs/quickLink/quickLink.d2l?ou=412335&type=quiz&rcode=byui_production-1618379,Found,Spring 2018,2018
FDREL 250: 22 (Campus); Spring 2018,412339,250 Assessment,https://byui.brightspace.com/d2l/common/dialogs/quickLink/quickLink.d2l?ou=412339&type=quiz&rcode=byui_production-1618379,Found,Spring 2018,2018
"FDREL 250: 15,21 (Campus); Spring 2018",417283,250 Assessment,https://byui.brightspace.com/d2l/common/dialogs/quickLink/quickLink.d2l?ou=417283&type=quiz&rcode=byui_production-1733091,Found,Spring 2018,2018
"FDREL 250: 12,17 (Campus); Spring 2018",425434,250 Assessment,https://byui.brightspace.com/d2l/common/dialogs/quickLink/quickLink.d2l?ou=425434&type=quiz&rcode=byui_production-1618379,Found,Spring 2018,2018
"FDREL 250: 18,23,31 (Campus); Spring 2018",428547,"250 Assessment,250 Assessment",https://byui.brightspace.com/d2l/common/dialogs/quickLink/quickLink.d2l?ou=428547&type=quiz&rcode=byui_production-1618379,Found,Spring 2018,2018
FDREL 250: 01 (Campus); Summer 2018,469776,250 Toolkit Assessment,https://byui.brightspace.com/d2l/common/dialogs/quickLink/quickLink.d2l?ou=469776&type=quiz&rcode=byui_production-1618379,Found,Summer 2018,2018
